recipeId,slug,title,sourceName,visualType,visualConfidence,reviewStatus,status,targetFilename,imagePath,thumbnailPath,imagePrompt
lidl-aromatizalt-lazacfile-parolt-zoldsegekkel-citrusos-salataval,aromatizalt-lazacfile-parolt-zoldsegekkel-citrusos-salataval,"„Aromatizált” lazacfilé, párolt zöldségekkel, citrusos salátával",Lidl Konyha,fish-main,high,approved,generated,aromatizalt-lazacfile-parolt-zoldsegekkel-citrusos-salataval.webp,/assets/recipes/images/aromatizalt-lazacfile-parolt-zoldsegekkel-citrusos-salataval.webp,/assets/recipes/images/thumbnails/aromatizalt-lazacfile-parolt-zoldsegekkel-citrusos-salataval.webp,"Recipe title: „Aromatizált” lazacfilé, párolt zöldségekkel, citrusos salátával. Create a fish or seafood main dish with visible lazacfile, vegyes zoldseg, citrom vagy narancs. The dish must read visually as a plated fish or seafood main dish with the protein clearly visible. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: lazacfile, vegyes zoldseg, citrom vagy narancs. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-crepe-suzette-a-francia-palacsinta,crepe-suzette-a-francia-palacsinta,"""Crépe Suzette"", a francia palacsinta",Lidl Konyha,pancake-crepe,high,approved,generated,crepe-suzette-a-francia-palacsinta.webp,/assets/recipes/images/crepe-suzette-a-francia-palacsinta.webp,/assets/recipes/images/thumbnails/crepe-suzette-a-francia-palacsinta.webp,"Recipe title: ""Crépe Suzette"", a francia palacsinta. Create thin pancakes or crepes on a ceramic plate . The dish must read visually as thin pancakes or crepes folded or stacked on a plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-fitness-salata-roppanos-csirkefalatkakkal-es-tofuval,fitness-salata-roppanos-csirkefalatkakkal-es-tofuval,„Fitness” saláta roppanós csirkefalatkákkal és tofuval,Lidl Konyha,salad,high,approved,generated,fitness-salata-roppanos-csirkefalatkakkal-es-tofuval.webp,/assets/recipes/images/fitness-salata-roppanos-csirkefalatkakkal-es-tofuval.webp,/assets/recipes/images/thumbnails/fitness-salata-roppanos-csirkefalatkakkal-es-tofuval.webp,"Recipe title: „Fitness” saláta roppanós csirkefalatkákkal és tofuval. Create a composed salad with visible csirkehus, tofu, salatakeverek. The dish must read visually as a fresh composed salad in a bowl or shallow plate with colorful ingredients. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: csirkehus, tofu, salatakeverek. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-paprikas-burgonya-kolbasszal-es-garnelarakkal,paprikas-burgonya-kolbasszal-es-garnelarakkal,„Paprikás burgonya” kolbásszal és garnélarákkal,Lidl Konyha,stew,high,approved,generated,paprikas-burgonya-kolbasszal-es-garnelarakkal.webp,/assets/recipes/images/paprikas-burgonya-kolbasszal-es-garnelarakkal.webp,/assets/recipes/images/thumbnails/paprikas-burgonya-kolbasszal-es-garnelarakkal.webp,"Recipe title: „Paprikás burgonya” kolbásszal és garnélarákkal. Create a hearty stew or one-pot meal with visible garnela, burgonya. The dish must read visually as a hearty stew, ragu, or one-pot meal in a shallow bowl or plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: garnela, burgonya. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-pinceporkolt-bogracsos-kormos-pacal-faszenen-grillezett-oldalassal,pinceporkolt-bogracsos-kormos-pacal-faszenen-grillezett-oldalassal,"„Pincepörkölt” Bográcsos körmös pacal, faszénen grillezett oldalassal",Lidl Konyha,stew,high,approved,generated,pinceporkolt-bogracsos-kormos-pacal-faszenen-grillezett-oldalassal.webp,/assets/recipes/images/pinceporkolt-bogracsos-kormos-pacal-faszenen-grillezett-oldalassal.webp,/assets/recipes/images/thumbnails/pinceporkolt-bogracsos-kormos-pacal-faszenen-grillezett-oldalassal.webp,"Recipe title: „Pincepörkölt” Bográcsos körmös pacal, faszénen grillezett oldalassal. Create a hearty stew or one-pot meal . The dish must read visually as a hearty stew, ragu, or one-pot meal in a shallow bowl or plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-2-fele-halloweeni-ischler,2-fele-halloweeni-ischler,2-féle halloweeni ischler,Lidl Konyha,cookie-dessert,high,approved,generated,2-fele-halloweeni-ischler.webp,/assets/recipes/images/2-fele-halloweeni-ischler.webp,/assets/recipes/images/thumbnails/2-fele-halloweeni-ischler.webp,"Recipe title: 2-féle halloweeni ischler. Create small homemade sandwich cookies with visible halfele. The dish must read visually as a small sandwich cookie dessert with chocolate coating or visible filling. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: halfele. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-2-fele-sutes-nelkuli-mogyorokremes-sutinyaloka-husvetra,2-fele-sutes-nelkuli-mogyorokremes-sutinyaloka-husvetra,2-féle sütés nélküli mogyorókrémes sütinyalóka húsvétra,Lidl Konyha,cake-pop,high,approved,generated,2-fele-sutes-nelkuli-mogyorokremes-sutinyaloka-husvetra.webp,/assets/recipes/images/2-fele-sutes-nelkuli-mogyorokremes-sutinyaloka-husvetra.webp,/assets/recipes/images/thumbnails/2-fele-sutes-nelkuli-mogyorokremes-sutinyaloka-husvetra.webp,"Recipe title: 2-féle sütés nélküli mogyorókrémes sütinyalóka húsvétra. Create decorated cake pops on small sticks with dessert styling. The dish must read visually as decorated cake pops on sticks with homemade dessert styling. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-a-legfinomabb-sultcsirke-tepsis-gyokerzoldsegekkel,a-legfinomabb-sultcsirke-tepsis-gyokerzoldsegekkel,"A ""legfinomabb"" sültcsirke tepsis gyökérzöldségekkel",Lidl Konyha,roasted-chicken,high,approved,generated,a-legfinomabb-sultcsirke-tepsis-gyokerzoldsegekkel.webp,/assets/recipes/images/a-legfinomabb-sultcsirke-tepsis-gyokerzoldsegekkel.webp,/assets/recipes/images/thumbnails/a-legfinomabb-sultcsirke-tepsis-gyokerzoldsegekkel.webp,"Recipe title: A ""legfinomabb"" sültcsirke tepsis gyökérzöldségekkel. Create a chicken main dish with visible egesz csirke, vegyes zoldseg. The dish must read visually as a roasted or pan-cooked chicken main dish with visible chicken pieces. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: egesz csirke, vegyes zoldseg. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-a-legfinomabb-csokolademousse,a-legfinomabb-csokolademousse,A legfinomabb csokoládémousse,Lidl Konyha,mousse-dessert,high,approved,generated,a-legfinomabb-csokolademousse.webp,/assets/recipes/images/a-legfinomabb-csokolademousse.webp,/assets/recipes/images/thumbnails/a-legfinomabb-csokolademousse.webp,"Recipe title: A legfinomabb csokoládémousse. Create a mousse dessert with visible tejszin, etcsokolade. The dish must read visually as a silky chocolate or fruit mousse served in a dessert glass or bowl. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: tejszin, etcsokolade. No text, no watermark, no logo, no brand packaging, no people, no hands."
lidl-a-legfinomabb-palacsinta-turokremmel-tejfollel-sutve,a-legfinomabb-palacsinta-turokremmel-tejfollel-sutve,"A legfinomabb palacsinta túrókrémmel, tejföllel sütve",Lidl Konyha,pancake-crepe,high,approved,generated,a-legfinomabb-palacsinta-turokremmel-tejfollel-sutve.webp,/assets/recipes/images/a-legfinomabb-palacsinta-turokremmel-tejfollel-sutve.webp,/assets/recipes/images/thumbnails/a-legfinomabb-palacsinta-turokremmel-tejfollel-sutve.webp,"Recipe title: A legfinomabb palacsinta túrókrémmel, tejföllel sütve. Create thin pancakes or crepes on a ceramic plate with visible turo, tejfol. The dish must read visually as thin pancakes or crepes folded or stacked on a plate. Style: realistic editorial food photography, warm natural daylight, cozy modern family kitchen, cream linen table, ceramic tableware, soft shadows, premium Family Flow look, clean composition. Camera: appetizing close-up or 3/4 tabletop framing with the food as the clear hero. Key ingredients: turo, tejfol. No text, no watermark, no logo, no brand packaging, no people, no hands."
